timestamp,order_id,final_score,status,action_taken,distance_km,weather,restaurant_load,image_filename,analysis_text,recommendation,lateness_min
2026-02-18T22:50:26.010577,5017,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,9.46,Clear,Medium,ok\cakehai.jpg,Score: 3.6/5.0. ,Standard Protocol,6.0
2026-02-18T22:50:31.240885,5018,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,1.65,Rain,Low,ok\images (9).jpg,Score: 3.6/5.0. Context: adverse weather (Rain).,Standard Protocol,14.0
2026-02-18T22:50:36.466035,5019,1.7,"Timeliness: Poor, Packaging: Damaged",CRITICAL: Refund Issued,8.45,Clear,Medium,damaged\Screenshot 2025-10-11 005728.png,"Score: 1.7/5.0. Impacted by packaging damage, significant delay. ",Check Handling,25.0
2026-02-18T22:50:41.693102,5020,2.2,"Timeliness: Very Poor, Packaging: Excellent",CRITICAL: Refund Issued,8.6,Clear,Medium,ok\istockphoto-475455598-612x612.jpg,Score: 2.2/5.0. Impacted by significant delay. ,Review Route / Adjust ETA,31.0
2026-02-18T22:50:46.903673,5021,4.3,"Timeliness: Good, Packaging: Excellent",No Action,13.37,Clear,Medium,ok\360_F_86397793_ARSYcejYoaBPjU6QAY73zWgkgbnkNAvN.jpg,Score: 4.3/5.0. ,Standard Protocol,2.0
2026-02-18T22:50:52.160339,5022,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,17.16,Rain,Low,ok\1000_F_118815546_5sxdEsU47nKxFkpgf6g7BaICbnAKjV3f.jpg,Score: 3.6/5.0. Context: adverse weather (Rain).,Standard Protocol,6.0
2026-02-18T22:50:57.424903,5023,1.0,"Timeliness: Very Poor, Packaging: Damaged",CRITICAL: Refund Issued,8.95,Rain,Medium,damaged\o.jpg,"Score: 1.0/5.0. Impacted by packaging damage, significant delay. Context: adverse weather (Rain).",Check Handling,35.0
2026-02-18T22:51:02.633945,5024,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,2.69,Clear,Low,ok\images (10).jpg,Score: 5.0/5.0. ,Standard Protocol,-9.0
2026-02-18T22:51:07.843426,5025,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,9.96,Clear,Medium,ok\coffee-delivery-theme-4-paper-cups-with-hot-lids-in-carton-tray-2WFD57B.jpg,Score: 3.6/5.0. ,Standard Protocol,6.0
2026-02-18T22:51:13.087280,5026,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,4.37,Fog,Medium,"ok\713wHFXZ41L._UF350,350_QL80_.jpg",Score: 2.9/5.0. Impacted by significant delay. Context: adverse weather (Fog).,Review Route / Adjust ETA,28.0
2026-02-18T22:51:18.267303,5027,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,7.23,Clear,Low,ok\360_F_86397793_ARSYcejYoaBPjU6QAY73zWgkgbnkNAvN.jpg,Score: 5.0/5.0. ,Standard Protocol,-5.0
2026-02-18T22:51:23.755860,5028,1.7,"Timeliness: Poor, Packaging: Damaged",CRITICAL: Refund Issued,7.35,Rain,Low,damaged\1f04sp4jzcs91.jpg,"Score: 1.7/5.0. Impacted by packaging damage, significant delay. Context: adverse weather (Rain).",Check Handling,27.0
2026-02-18T22:51:28.971959,5029,2.2,"Timeliness: Very Poor, Packaging: Excellent",CRITICAL: Refund Issued,16.58,Clear,High,ok\images (21).jpg,Score: 2.2/5.0. Impacted by significant delay. Context: high restaurant load.,Review Route / Adjust ETA,33.0
2026-02-18T22:51:34.191901,5030,3.8,"Timeliness: Excellent, Packaging: Damaged",Flagged for Review,16.49,Rain,Medium,ok\images (11).jpg,Score: 3.8/5.0. Impacted by packaging damage. Context: adverse weather (Rain).,Check Handling,-2.0
2026-02-18T22:51:39.491442,5031,1.7,"Timeliness: Poor, Packaging: Damaged",CRITICAL: Refund Issued,7.1,Clear,Medium,damaged\FKql4cBVgAYYXir.jpg,"Score: 1.7/5.0. Impacted by packaging damage, significant delay. ",Check Handling,28.0
2026-02-19T00:24:42.933393,5033,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,8.74,Fog,Low,ok\images (16).jpg,Score: 3.6/5.0. Context: adverse weather (Fog).,Standard Protocol,9.0
2026-02-19T00:24:48.146102,5034,4.3,"Timeliness: Good, Packaging: Excellent",No Action,2.26,Clear,Low,ok\images (15).jpg,Score: 4.3/5.0. ,Standard Protocol,4.0
2026-02-19T00:24:53.397971,5035,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,17.71,Fog,Low,ok\Free-Kraft-Paper-Bag-With-Coffee-Cup-Mockup-PSD-File.jpg,Score: 5.0/5.0. Context: adverse weather (Fog).,Standard Protocol,0.0
2026-02-19T00:24:58.649172,5036,1.7,"Timeliness: Poor, Packaging: Damaged",CRITICAL: Refund Issued,8.2,Rain,Low,damaged\FKql4cBVgAYYXir.jpg,"Score: 1.7/5.0. Impacted by packaging damage, significant delay. Context: adverse weather (Rain).",Check Handling,24.0
2026-02-19T00:25:03.924252,5037,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,11.47,Rain,Low,ok\istockphoto-1046630756-612x612.jpg,Score: 5.0/5.0. Context: adverse weather (Rain).,Standard Protocol,-1.0
2026-02-19T00:25:09.228331,5038,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,1.51,Clear,Medium,ok\istockphoto-184291310-612x612.jpg,Score: 5.0/5.0. ,Standard Protocol,-9.0
2026-02-19T00:25:14.475160,5039,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,9.1,Rain,Medium,ok\images (4).jpg,Score: 5.0/5.0. Context: adverse weather (Rain).,Standard Protocol,-7.0
2026-02-19T00:25:19.715700,5040,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,7.02,Clear,Medium,ok\images (15).jpg,Score: 2.9/5.0. Impacted by significant delay. ,Review Route / Adjust ETA,27.0
2026-02-19T00:25:25.164586,5041,1.0,"Timeliness: Very Poor, Packaging: Damaged",CRITICAL: Refund Issued,10.91,Rain,High,damaged\jc0aa5dr3grb1.jpg,"Score: 1.0/5.0. Impacted by packaging damage, significant delay. Context: adverse weather (Rain), high restaurant load.",Check Handling,32.0
2026-02-19T00:25:30.381270,5042,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,1.45,Rain,Low,ok\istockphoto-1201187100-612x612.jpg,Score: 2.9/5.0. Impacted by significant delay. Context: adverse weather (Rain).,Review Route / Adjust ETA,19.0
2026-02-19T00:25:35.578122,5043,4.3,"Timeliness: Good, Packaging: Excellent",No Action,11.6,Rain,High,ok\360_F_86397793_ARSYcejYoaBPjU6QAY73zWgkgbnkNAvN.jpg,"Score: 4.3/5.0. Context: adverse weather (Rain), high restaurant load.",Standard Protocol,3.0
2026-02-19T00:25:40.858168,5044,1.7,"Timeliness: Poor, Packaging: Damaged",CRITICAL: Refund Issued,12.97,Clear,Medium,ok\images (13).jpg,"Score: 1.7/5.0. Impacted by packaging damage, significant delay. ",Check Handling,19.0
2026-02-19T00:25:46.358666,5045,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,12.9,Rain,Low,ok\food-delivery-bags.jpg,Score: 2.9/5.0. Impacted by significant delay. Context: adverse weather (Rain).,Review Route / Adjust ETA,27.0
2026-02-19T00:25:51.620225,5046,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,10.06,Clear,Medium,"ok\713wHFXZ41L._UF350,350_QL80_.jpg",Score: 3.6/5.0. ,Standard Protocol,10.0
2026-02-19T00:25:56.833305,5047,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,16.82,Clear,Low,ok\images (10).jpg,Score: 5.0/5.0. ,Standard Protocol,-4.0
2026-02-19T01:04:12.123211,5049,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,14.2,Clear,Medium,"ok\713wHFXZ41L._UF350,350_QL80_.jpg",Score: 3.6/5.0. ,Standard Protocol,8.0
2026-02-19T01:04:17.376749,5050,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,8.03,Clear,High,ok\Free-Kraft-Paper-Bag-With-Coffee-Cup-Mockup-PSD-File.jpg,Score: 3.6/5.0. Context: high restaurant load.,Standard Protocol,8.0
2026-02-19T01:04:22.700994,5051,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,12.55,Clear,Low,ok\Free_Delivery_Bag_Mockup_1.jpg,Score: 5.0/5.0. ,Standard Protocol,-10.0
2026-02-19T01:04:27.972594,5052,1.0,"Timeliness: Very Poor, Packaging: Damaged",CRITICAL: Refund Issued,7.95,Clear,High,damaged\5c0022505164f.image.jpg,"Score: 1.0/5.0. Impacted by packaging damage, significant delay. Context: high restaurant load.",Check Handling,31.0
2026-02-19T01:04:33.221789,5053,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,16.48,Clear,Low,ok\images (15).jpg,Score: 3.6/5.0. ,Standard Protocol,7.0
2026-02-19T01:04:38.439787,5054,1.0,"Timeliness: Very Poor, Packaging: Damaged",CRITICAL: Refund Issued,9.99,Clear,Low,damaged\Screenshot 2025-10-11 005728.png,"Score: 1.0/5.0. Impacted by packaging damage, significant delay. ",Check Handling,31.0
2026-02-19T01:04:43.653830,5055,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,1.97,Rain,High,ok\images (16).jpg,"Score: 3.6/5.0. Context: adverse weather (Rain), high restaurant load.",Standard Protocol,6.0
2026-02-19T01:04:48.820759,5056,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,3.56,Clear,Medium,ok\Free-Craft-Paper-Delivery-Bag-Mockup1.jpg,Score: 2.9/5.0. Impacted by significant delay. ,Review Route / Adjust ETA,27.0
2026-02-19T01:04:54.075920,5057,1.7,"Timeliness: Poor, Packaging: Damaged",CRITICAL: Refund Issued,16.19,Rain,High,damaged\images (4).jpg,"Score: 1.7/5.0. Impacted by packaging damage, significant delay. Context: adverse weather (Rain), high restaurant load.",Check Handling,24.0
2026-02-19T01:04:59.287310,5058,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,16.71,Clear,High,ok\pizza-in-delivery-box-cut-out-on-white-background-ACDCRM.jpg,Score: 3.6/5.0. Context: high restaurant load.,Standard Protocol,13.0
2026-02-19T01:05:04.522357,5059,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,1.88,Clear,Medium,ok\images (5).jpg,Score: 2.9/5.0. Impacted by significant delay. ,Review Route / Adjust ETA,20.0
2026-02-19T01:05:09.753310,5060,1.7,"Timeliness: Poor, Packaging: Damaged",CRITICAL: Refund Issued,12.62,Clear,Low,damaged\FKql4cBVgAYYXir.jpg,"Score: 1.7/5.0. Impacted by packaging damage, significant delay. ",Check Handling,23.0
2026-02-19T01:05:14.936307,5061,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,1.09,Clear,Medium,ok\coffee-delivery-theme-4-paper-cups-with-hot-lids-in-carton-tray-2WFD57B.jpg,Score: 2.9/5.0. Impacted by significant delay. ,Review Route / Adjust ETA,26.0
2026-02-19T01:05:20.306593,5062,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,13.14,Clear,Medium,ok\images (18).jpg,Score: 3.6/5.0. ,Standard Protocol,14.0
2026-02-19T01:05:25.498194,5063,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,15.32,Clear,Medium,ok\images (6).jpg,Score: 5.0/5.0. ,Standard Protocol,-15.0
2026-02-19T01:05:30.839313,5064,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,11.78,Clear,Medium,ok\food-delivery-bags.jpg,Score: 5.0/5.0. ,Standard Protocol,-3.0
2026-02-19T01:05:36.063838,5065,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,12.42,Clear,Low,ok\images (17).jpg,Score: 2.9/5.0. Impacted by significant delay. ,Review Route / Adjust ETA,16.0
2026-02-19T01:05:41.361194,5066,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,15.96,Clear,Medium,ok\Free_Delivery_Bag_Mockup_1.jpg,Score: 5.0/5.0. ,Standard Protocol,-11.0
2026-02-19T01:05:46.598640,5067,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,8.52,Clear,Medium,ok\gettyimages-184345387-612x612.jpg,Score: 3.6/5.0. ,Standard Protocol,14.0
2026-02-19T01:05:51.824353,5068,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,4.7,Clear,High,ok\360_F_41304196_r9YMTXoODnojG65kUM8IE8pFXr8kbP1J.jpg,Score: 5.0/5.0. Context: high restaurant load.,Standard Protocol,-12.0
2026-02-19T01:05:57.001278,5069,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,4.8,Rain,High,ok\gettyimages-172656126-612x612.jpg,"Score: 5.0/5.0. Context: adverse weather (Rain), high restaurant load.",Standard Protocol,-11.0
2026-02-19T01:06:02.598252,5070,1.7,"Timeliness: Poor, Packaging: Damaged",CRITICAL: Refund Issued,8.74,Clear,Medium,damaged\v6zpimrcppm71.jpg,"Score: 1.7/5.0. Impacted by packaging damage, significant delay. ",Check Handling,29.0
2026-02-19T01:06:07.773809,5071,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,10.47,Clear,Low,ok\images (17).jpg,Score: 3.6/5.0. ,Standard Protocol,15.0
2026-02-19T01:06:15.539088,5072,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,7.44,Clear,Medium,damaged\istockphoto-1201162965-612x612.jpg,Score: 2.9/5.0. Impacted by significant delay. ,Review Route / Adjust ETA,24.0
2026-02-19T01:06:20.795181,5073,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,4.67,Clear,High,ok\Free_Delivery_Bag_Mockup_1.jpg,Score: 5.0/5.0. Context: high restaurant load.,Standard Protocol,-8.0
2026-02-19T01:06:35.250033,5074,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,8.7,Rain,Medium,ok\Free-Craft-Paper-Delivery-Bag-Mockup1.jpg,Score: 2.9/5.0. Impacted by significant delay. Context: adverse weather (Rain).,Review Route / Adjust ETA,30.0
2026-02-19T01:06:48.703074,5075,2.4,"Timeliness: Average, Packaging: Damaged",CRITICAL: Refund Issued,8.66,Clear,Low,ok\images (13).jpg,Score: 2.4/5.0. Impacted by packaging damage. ,Check Handling,11.0
2026-02-19T01:06:53.896607,5076,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,13.81,Rain,Medium,ok\images (20).jpg,Score: 3.6/5.0. Context: adverse weather (Rain).,Standard Protocol,14.0
2026-02-19T01:06:59.068261,5077,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,16.1,Clear,Low,ok\istockphoto-475455598-612x612.jpg,Score: 5.0/5.0. ,Standard Protocol,-3.0
2026-02-19T01:07:04.257417,5078,4.3,"Timeliness: Good, Packaging: Excellent",No Action,17.83,Rain,Medium,ok\istockphoto-1051095170-612x612.jpg,Score: 4.3/5.0. Context: adverse weather (Rain).,Standard Protocol,4.0
2026-02-19T01:07:09.589769,5079,1.7,"Timeliness: Poor, Packaging: Damaged",CRITICAL: Refund Issued,15.03,Fog,Low,damaged\uit5z5sz99rb1.jpg,"Score: 1.7/5.0. Impacted by packaging damage, significant delay. Context: adverse weather (Fog).",Check Handling,22.0
2026-02-19T01:07:14.889928,5080,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,13.28,Clear,Low,ok\pngtree-brown-paper-bag-for-food-delivery-or-takeaway-png-image_15993170.png,Score: 2.9/5.0. Impacted by significant delay. ,Review Route / Adjust ETA,18.0
2026-02-19T01:07:20.206453,5081,4.3,"Timeliness: Good, Packaging: Excellent",No Action,6.22,Rain,High,ok\images (18).jpg,"Score: 4.3/5.0. Context: adverse weather (Rain), high restaurant load.",Standard Protocol,5.0
2026-02-19T01:07:25.424333,5082,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,8.3,Clear,Medium,ok\images (17).jpg,Score: 2.9/5.0. Impacted by significant delay. ,Review Route / Adjust ETA,19.0
2026-02-19T01:07:30.728718,5083,1.0,"Timeliness: Very Poor, Packaging: Damaged",CRITICAL: Refund Issued,10.04,Clear,High,damaged\5c0022505164f.image.jpg,"Score: 1.0/5.0. Impacted by packaging damage, significant delay. Context: high restaurant load.",Check Handling,34.0
2026-02-19T01:07:35.973046,5084,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,13.4,Clear,Low,ok\pizza-in-delivery-box-cut-out-on-white-background-ACDCRM.jpg,Score: 5.0/5.0. ,Standard Protocol,-12.0
2026-02-19T01:07:41.485936,5085,1.0,"Timeliness: Very Poor, Packaging: Damaged",CRITICAL: Refund Issued,15.13,Clear,Low,damaged\ky40dv7cw0e71.jpg,"Score: 1.0/5.0. Impacted by packaging damage, significant delay. ",Check Handling,34.0
2026-02-19T01:07:46.754764,5086,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,14.26,Clear,Low,ok\images (17).jpg,Score: 3.6/5.0. ,Standard Protocol,7.0
2026-02-19T01:07:51.978196,5087,4.3,"Timeliness: Good, Packaging: Excellent",No Action,8.81,Clear,Medium,"ok\713wHFXZ41L._UF350,350_QL80_.jpg",Score: 4.3/5.0. ,Standard Protocol,2.0
2026-02-19T01:07:57.201664,5088,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,12.23,Clear,Medium,ok\coffee-delivery-theme-4-paper-cups-with-hot-lids-in-carton-tray-2WFD57B.jpg,Score: 5.0/5.0. ,Standard Protocol,-1.0
2026-02-19T01:08:02.491770,5089,1.7,"Timeliness: Poor, Packaging: Damaged",CRITICAL: Refund Issued,1.9300000000000002,Rain,Low,damaged\istockphoto-471115890-612x612.jpg,"Score: 1.7/5.0. Impacted by packaging damage, significant delay. Context: adverse weather (Rain).",Check Handling,21.0
2026-02-19T01:08:07.736784,5090,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,16.71,Clear,Medium,"ok\71IElB4SK6L._UF1000,1000_QL80_.jpg",Score: 5.0/5.0. ,Standard Protocol,-3.0
2026-02-19T01:08:12.956842,5091,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,5.68,Clear,Medium,ok\images (8).jpg,Score: 5.0/5.0. ,Standard Protocol,-2.0
2026-02-19T01:08:18.152184,5092,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,2.02,Clear,Medium,ok\images (10).jpg,Score: 2.9/5.0. Impacted by significant delay. ,Review Route / Adjust ETA,19.0
2026-02-19T01:08:23.657005,5093,1.7,"Timeliness: Poor, Packaging: Damaged",CRITICAL: Refund Issued,7.98,Clear,High,damaged\am-i-wrong-to-complain-v0-aupgol841lgb1.jpg,"Score: 1.7/5.0. Impacted by packaging damage, significant delay. Context: high restaurant load.",Check Handling,27.0
2026-02-19T01:08:43.604319,5094,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,17.05,Clear,Low,ok\images (4).jpg,Score: 2.9/5.0. Impacted by significant delay. ,Review Route / Adjust ETA,28.0
2026-02-19T01:08:48.805739,5095,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,13.61,Clear,Medium,ok\insulated-delivery-bags-header-image-Recovered.jpg,Score: 5.0/5.0. ,Standard Protocol,-14.0
2026-02-19T01:08:53.983267,5096,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,12.33,Clear,Medium,ok\images (5).jpg,Score: 5.0/5.0. ,Standard Protocol,-5.0
2026-02-19T01:08:59.146642,5097,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,1.3,Rain,Low,ok\images (17).jpg,Score: 3.6/5.0. Context: adverse weather (Rain).,Standard Protocol,6.0
2026-02-19T01:09:04.315089,5098,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,13.79,Clear,Low,ok\cakehai.jpg,Score: 2.9/5.0. Impacted by significant delay. ,Review Route / Adjust ETA,28.0
2026-02-19T01:09:09.485911,5099,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,1.7000000000000002,Rain,High,ok\images (15).jpg,"Score: 5.0/5.0. Context: adverse weather (Rain), high restaurant load.",Standard Protocol,-8.0
2026-02-19T01:09:14.704301,5100,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,13.37,Clear,Low,ok\paper-food-delivery-bags.jpg,Score: 5.0/5.0. ,Standard Protocol,-9.0
2026-02-19T01:09:19.940610,5101,5.0,"Timeliness: Excellent, Packaging: Excellent",No Action,14.41,Clear,Low,ok\213d6a60eaa7ba3cd4e704c64f7d85a8.jpg,Score: 5.0/5.0. ,Standard Protocol,-12.0
2026-02-19T01:09:25.195539,5102,1.0,"Timeliness: Very Poor, Packaging: Damaged",CRITICAL: Refund Issued,9.09,Clear,Medium,damaged\D-kE2A8U4AAL5LW.jpg,"Score: 1.0/5.0. Impacted by packaging damage, significant delay. ",Check Handling,35.0
2026-02-19T01:09:30.474770,5103,3.6,"Timeliness: Average, Packaging: Excellent",Flagged for Review,9.66,Clear,Low,ok\a-person-showing-an-open-pizza-box-isolated-over-white-back-ground-JBBFEH.jpg,Score: 3.6/5.0. ,Standard Protocol,15.0
2026-02-19T01:09:35.853059,5104,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,6.09,Clear,Medium,ok\Screenshot 2025-10-11 013333.png,Score: 2.9/5.0. Impacted by significant delay. ,Review Route / Adjust ETA,21.0
2026-02-19T01:09:41.127904,5105,1.0,"Timeliness: Very Poor, Packaging: Damaged",CRITICAL: Refund Issued,3.81,Rain,Low,damaged\thumbnail_936071_normal.1707664198.jpg,"Score: 1.0/5.0. Impacted by packaging damage, significant delay. Context: adverse weather (Rain).",Check Handling,32.0
2026-02-19T01:13:57.531101,5109,1.7,"Timeliness: Poor, Packaging: Damaged",CRITICAL: Refund Issued,6.79,Clear,Medium,damaged\damaged-package-what-happened-here-genuinely-curious-not-mad-v0-yqt2sbrwnuqb1.jpg,"Score: 1.7/5.0. Impacted by packaging damage, significant delay. ",Check Handling,30.0
2026-02-19T01:14:02.768014,5110,2.2,"Timeliness: Very Poor, Packaging: Excellent",CRITICAL: Refund Issued,13.89,Clear,Low,"ok\71IElB4SK6L._UF1000,1000_QL80_.jpg",Score: 2.2/5.0. Impacted by significant delay. ,Review Route / Adjust ETA,33.0
2026-02-19T01:14:07.951036,5111,2.2,"Timeliness: Very Poor, Packaging: Excellent",CRITICAL: Refund Issued,11.78,Clear,High,ok\istockphoto-184291310-612x612.jpg,Score: 2.2/5.0. Impacted by significant delay. Context: high restaurant load.,Review Route / Adjust ETA,33.0
2026-02-19T01:14:13.114201,5112,1.0,"Timeliness: Very Poor, Packaging: Damaged",CRITICAL: Refund Issued,10.7,Clear,Low,damaged\18062306-7426837-image-a-45_1567605734785.jpg,"Score: 1.0/5.0. Impacted by packaging damage, significant delay. ",Check Handling,32.0
2026-02-19T01:14:18.329524,5113,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,4.71,Clear,Medium,ok\images (16).jpg,Score: 2.9/5.0. Impacted by significant delay. ,Review Route / Adjust ETA,27.0
2026-02-19T01:14:23.656100,5114,1.7,"Timeliness: Poor, Packaging: Damaged",CRITICAL: Refund Issued,4.62,Clear,Low,damaged\EOttgmiUYAEGrgy.jpg,"Score: 1.7/5.0. Impacted by packaging damage, significant delay. ",Check Handling,28.0
2026-02-19T01:14:28.945238,5115,1.7,"Timeliness: Poor, Packaging: Damaged",CRITICAL: Refund Issued,16.63,Rain,High,damaged\ndy0ad6ne0ta1.jpg,"Score: 1.7/5.0. Impacted by packaging damage, significant delay. Context: adverse weather (Rain), high restaurant load.",Check Handling,24.0
2026-02-19T01:14:34.117652,5116,2.9,"Timeliness: Poor, Packaging: Excellent",Flagged for Review,6.91,Rain,Low,ok\images (21).jpg,Score: 2.9/5.0. Impacted by significant delay. Context: adverse weather (Rain).,Review Route / Adjust ETA,29.0
